id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,puskesmas,jenis_kelamin,jumlah_kasus_tbc,satuan,tahun
1,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209010,Waled,32.09.01,WALED,WALED,PRIA,17,ORANG,2021
2,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209010,Waled,32.09.01,WALED,CIBOGO,PRIA,13,ORANG,2021
3,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209011,Pasaleman,32.09.32,PASALEMAN,PASALEMAN,PRIA,11,ORANG,2021
4,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209020,Ciledug,32.09.02,CILEDUG,CILEDUG,PRIA,30,ORANG,2021
5,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209021,Pabuaran,32.09.33,PABUARAN,PABUARAN,PRIA,10,ORANG,2021
6,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209030,Losari,32.09.03,LOSARI,LOSARI,PRIA,14,ORANG,2021
7,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209030,Losari,32.09.03,LOSARI,ASTANALANGGAR,PRIA,12,ORANG,2021
8,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209031,Pabedilan,32.09.04,PABEDILAN,PABEDILAN,PRIA,12,ORANG,2021
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209031,Pabedilan,32.09.04,PABEDILAN,KALIMUKTI,PRIA,15,ORANG,2021
10,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209040,Babakan,32.09.05,BABAKAN,BABAKAN,PRIA,28,ORANG,2021
11,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209040,Babakan,32.09.05,BABAKAN,GEMBONGAN,PRIA,18,ORANG,2021
12,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209041,Gebang,32.09.30,GEBANG,GEBANG,PRIA,10,ORANG,2021
13,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209041,Gebang,32.09.30,GEBANG,KALIMARO,PRIA,7,ORANG,2021
14,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209050,Karangsembung,32.09.06,KARANGSEMBUNG,KARANGSEMBUNG,PRIA,18,ORANG,2021
15,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209051,Karangwareng,32.09.34,KARANGWARENG,KUBANGDELEG,PRIA,5,ORANG,2021
16,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209060,Lemahabang,32.09.07,LEMAHABANG,SINDANGLAUT,PRIA,41,ORANG,2021
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209061,Susukanlebak,32.09.08,SUSUKAN LEBAK,SUSUKANLEBAK,PRIA,16,ORANG,2021
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209070,Sedong,32.09.09,SEDONG,SEDONG,PRIA,59,ORANG,2021
19,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209080,Astanajapura,32.09.10,ASTANAJAPURA,ASTANAJAPURA,PRIA,31,ORANG,2021
20,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209080,Astanajapura,32.09.10,ASTANAJAPURA,SIDAMULYA,PRIA,34,ORANG,2021
21,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209081,Pangenan,32.09.11,PANGENAN,PANGENAN,PRIA,23,ORANG,2021
22,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,Mundu,32.09.12,MUNDU,MUNDU,PRIA,15,ORANG,2021
23,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,Mundu,32.09.12,MUNDU,PAMENGKANG,PRIA,13,ORANG,2021
24,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209100,Beber,32.09.13,BEBER,BEBER,PRIA,31,ORANG,2021
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209101,Greged,32.09.38,GREGED,KAMARANG,PRIA,23,ORANG,2021
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209101,Greged,32.09.38,GREGED,NANGGELA,PRIA,26,ORANG,2021
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209111,Talun,32.09.14,TALUN,TALUN,PRIA,6,ORANG,2021
28,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209111,Talun,32.09.14,TALUN,CIPERNA,PRIA,14,ORANG,2021
29,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,Sumber,32.09.15,SUMBER,SUMBER,PRIA,9,ORANG,2021
30,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,Sumber,32.09.15,SUMBER,WATUBELAH,PRIA,9,ORANG,2021
